	BMC (1).txt	bmc.txt	ecology.txt	embo.txt	gbc.txt	gca.txt	jenvironqual.txt	ophth.txt	pnas.txt	science.txt
knowledgeable	0	0	0	0	0	0	0	0	0	0	
methods	4	4	0	1	1	1	5	2	1	3	
fair	0	0	1	1	0	0	2	0	0	0	
reanalysis	0	0	0	0	0	0	0	0	0	0	
reproducibility	0	0	0	0	0	0	0	0	0	0	
abstract	0	0	1	0	1	2	5	0	0	0	
organized	1	1	0	0	1	0	0	0	0	0	
useful	1	1	0	0	0	0	1	0	0	0	
impact	0	0	1	0	1	0	2	0	0	0	
tables	1	1	1	2	3	1	1	1	0	0	
style	0	0	2	0	0	0	6	0	0	0	
knowledge	0	0	0	0	0	2	5	0	0	0	
fit	0	0	1	0	0	0	3	1	0	0	
title	0	0	1	0	1	0	1	0	0	0	
novelty	0	0	0	0	0	0	2	0	0	0	
thorough	1	1	0	0	0	0	4	0	0	0	
originality	1	1	0	0	0	1	2	0	2	0	
supplemental	0	0	0	0	0	0	0	0	0	0	
significance	0	0	1	2	0	0	2	0	0	0	
objective	0	0	2	0	0	0	5	0	0	0	
strengths	1	1	1	0	0	0	0	0	0	0	
justification	1	1	0	0	0	0	2	0	0	0	
importance	2	2	0	0	0	0	1	0	0	0	
advances	0	0	0	0	0	0	0	0	0	0	
weaknesses	1	1	1	1	0	0	0	0	0	0	
constructive	1	1	0	0	0	0	0	0	0	0	
readability	0	0	0	0	0	0	0	0	0	0	
structure	0	0	0	1	0	1	1	0	0	0	
advance	0	0	0	1	1	0	3	0	0	1	
kind	0	0	0	0	0	0	0	0	0	0	
novel	1	1	0	1	0	1	2	0	0	2	
value	0	0	0	0	0	0	2	0	1	0	
specific	1	1	4	2	1	0	2	0	0	0	
length	0	0	0	1	0	0	1	0	0	1	
figures	2	2	1	1	1	1	4	2	0	1	
professional	0	0	0	0	0	0	10	0	0	1	
appropriateness	1	1	0	0	0	1	1	0	0	0	
original	3	3	0	1	0	1	3	0	2	0	
